id,name,category,body_parts,primary_muscles,secondary_muscles,thumbnail_url,yt_video_id,instructions,key_cues,alternatives,equipment
1,Body Weight Squat,Strength,Upper Legs,"Quadriceps,Gluteus Maximus,Hamstrings","Erector Spinae,Core,Adductors,Calves",body_weight_squat.webp,l83R5PblSMA,"Stand with feet shoulder-width apart. Engage core, push hips back, and bend knees to lower down. Keep chest up and back straight. Lower until thighs are parallel to the floor. Push through heels to stand back up.","Keep knees tracking over toes, Engage core, Back straight","8,9",
2,Chin-Up,Strength,"Arms,Back,Core","Latissimus Dorsi,Biceps Brachii,Brachialis,Brachioradialis","Rhomboids,Trapezius,Pectoralis Minor,Deltoids,Core",placeholder.webp,Dl9vrk_AquU,"Grasp the bar with an underhand grip, shoulder-width apart. Start from a dead hang. Pull yourself up until your chin is above the bar. Lower yourself back down with control to the starting position.","Keep core tight, Elbows down and back, Avoid swinging","10,11",Pull-Up Bar
3,Pull-Up,Strength,"Arms,Back,Core","Latissimus Dorsi,Trapezius,Rhomboids,Teres Major","Biceps Brachii,Brachialis,Brachioradialis,Deltoids,Core",pull_up.webp,aAggnpPyR6E,"Grasp the bar with an overhand grip, slightly wider than shoulder-width. Hang with arms extended. Pull yourself up until your chin clears the bar. Lower down slowly to the starting position.","Pull with your back not arms, Avoid using momentum","12,13",Pull-Up Bar
4,90/90 Hip Rotation,Mobility,Hips,Hip Rotators,"Glutes, Adductors",9090_hip_rotation.webp,juOtDljPfws,Sit on the floor with front leg at 90° and back leg at 90°. Keep torso upright. Rotate knees and switch sides while keeping feet planted. Use hands for support if needed.,"Keep chest tall, Rotate from hips, Don’t force the range",14,
5,Nordic Hamstring Curls,Strength,Upper Legs,Hamstrings,Gastrocnemius,placeholder.webp,kjv4WQXWl_A,"Kneel on a pad and lower the body under control while the ankles are held in place by a partner, a loaded barbell or other immovable object.
Keep body straight and slowly lean forward from the knees, resisting the descent. Use hands to catch yourself if needed, then push back up.
To control the descent to the floor in the second half of the movement, use a band around your chest attached behind and above you
 - this ensures full activation under a full range of motion.
This exercise primarily builds eccentric, i.e. going down, strength.
The position of the ankle, plantarflexed, i.e. toes pointed down, or dorsiflexed, i.e. toes pointed up, makes the exercise more difficult, or easier, respectively.","Maintain straight body line, Engage hamstrings","6,7",Nordic Bench
6,Suspended Hamstring Curl w/ Straps,Strength,Upper Legs,Hamstrings,Gastrocnemius,placeholder.webp,aG4F0VoSCbI,tbd,tbd,,Suspension Trainer
7,Supine Slider Runners,Strength,Upper Legs,Hamstrings,Gastrocnemius,placeholder.webp,GinCNlxq_HA,tbd,tbd,,Sliders / Towels
8,Goblet Squat,Strength,Upper Legs,"Quadriceps,Gluteus Maximus,Hamstrings","Erector Spinae,Core,Adductors,Calves",goblet_squat.webp,MWHIs0zxkCU,tbd,tbd,,Dumbbell / Kettlebell
9,Wall Sit,Strength,Upper Legs,"Quadriceps,Gluteus Maximus,Hamstrings","Erector Spinae,Core,Adductors,Calves",wall_sit.webp,6Li55TURhVg,"Lean against a wall, slide down until knees are at 90°, hold the position","Keep back flat, Knees above ankles, Engage core","15,16",
10,Assisted Chin-Up,Strength,"Arms,Back,Core","Latissimus Dorsi,Biceps Brachii,Brachialis,Brachioradialis","Rhomboids,Trapezius,Pectoralis Minor,Deltoids,Core",placeholder.webp,kNy-STcVmJY,tbd,tbd,,"Pull-Up Bar, Assistance Machine / Band"
11,Negative Chin-Up,Strength,"Arms,Back,Core","Latissimus Dorsi,Biceps Brachii,Brachialis,Brachioradialis","Rhomboids,Trapezius,Pectoralis Minor,Deltoids,Core",placeholder.webp,mjNHoibfrMo,tbd,tbd,,Pull-Up Bar
12,Band-Assisted Pull-Up,Strength,"Arms,Back,Core","Latissimus Dorsi,Trapezius,Rhomboids,Teres Major","Biceps Brachii,Brachialis,Brachioradialis,Deltoids,Core",placeholder.webp,5rR_bzBc1NA,tbd,tbd,,"Pull-Up Bar, Resistance Band"
13,Lat Pulldown,Strength,"Arms,Back,Core","Latissimus Dorsi,Trapezius,Rhomboids,Teres Major","Biceps Brachii,Brachialis,Brachioradialis,Deltoids,Core",placeholder.webp,NAIEnMjN-6w,tbd,tbd,,Lat Pulldown Machine
14,Hip CARs,Mobility,Hips,Hip Rotators,"Glutes, Adductors",placeholder.webp,2mY_PkJ4Hl4,tbd,tbd,,
15,Weighted Wall Sit,Strength,Upper Legs,"Quadriceps,Gluteus Maximus,Hamstrings","Erector Spinae,Core,Adductors,Calves",placeholder.webp,3pf2ZQEAKyM,"Lean against a wall, slide down until knees are at 90°, place a weight on the thighs, hold the position","Keep back flat, Knees above ankles, Engage core",,Weight Plate / Dumbbell
16,Single-Leg Wall Sit,Strength,Upper Legs,"Quadriceps,Gluteus Maximus,Hamstrings","Erector Spinae,Core,Adductors,Calves",placeholder.webp,7Tgb8wVzbcY,"Lean against a wall, slide down until knees are at 90°, lift one leg off ground, hold the position","Keep back flat, Knee above ankle, Engage core",,
17,Push-Ups,Strength,"Chest,Arms","Pectoralis Major, Triceps Brachii, Anterior Deltoids",Rectus Abdominis,pushup.jpeg,_l3ySVKYVJ8,"Start in plank, lower chest to floor, push back up","Keep elbows at 45°, Engage core, Full range of motion",,
18,Monster Walks w/ Bands,Strength,Upper Legs,Gluteus Medius,"Gluteus Maximus, Hip Flexors, Quads",placeholder.webp,m4qWBY-6ylQ,"With band around feet, step side-to-side maintaining squat position","Keep tension on band, Control knees, Stay low",,Resistance Band
19,Standing Dumbbell Curl To Press,Strength,"Arms,Shoulders",Biceps,"Deltoids, Triceps, Core",placeholder.webp,zdQOmPMGjOY,"Curl dumbbells, rotate palms up, press overhead, reverse back down","Control the curl, Don’t sway, Lock core",,Dumbbells
20,Low Plank Reach,Strength,Core,Abdominals,"Shoulders, Glutes",placeholder.webp,LK4KpWC1Y8I,"From forearm plank, reach one arm forward, alternate sides","Keep hips level, Avoid torso twist",,
21,Low Plank Hold,Strength,Core,Abdominals,"Shoulders, Glutes",placeholder.webp,VmK1Ro159BU,"Hold forearm plank, straight line head to heels","Engage glutes and quads, Don’t let hips sag",,
22,Mountain Climbers,"Strength,Conditioning","Core,Upper Legs,Shoulders",Abdominals,"Hip Flexors, Shoulders",placeholder.webp,kLh-uczlPLg,"Start in high plank, drive knees towards chest alternately","Keep hips low, Steady pace, Engage core",,
23,Dead Bug w/ Roller Squeeze,Strength,Core,Abdominals,"Hip Flexors, Shoulders",placeholder.webp,8upYo8IGURo,"Lay on back, hold roller between hands and knees, extend opposite arm/leg","Keep core braced, Back flat, Controlled movement",,Foam Roller
24,Jumping Jacks,Conditioning,Full Body,Calves,"Deltoids, Hip Abductors",placeholder.webp,uLVt6u15L98,"Start with feet together, arms by sides, jump out spreading legs and arms overhead","Keep rhythm, Land softly, Engage core",,
25,Burpees,Conditioning,Full Body,"Pectoralis Major, Triceps Brachii, Deltoids, Quadriceps, Gluteus Maximus","Hamstrings, Calves, Rectus Abdominis",placeholder.webp,auBLPXO8Fww,"From standing, drop to plank, perform push-up (optional), jump feet in, leap up","Move smoothly, Land softly, Engage core",,
26,Walking Lunges,Strength,Upper Legs,Quadriceps,"Glutes, Hamstrings, Core",placeholder.webp,DlhojghkaQ0,"Stand tall with feet hip-width apart, hands on hips or holding dumbbells by your sides.
Step forward with your right leg, lowering your hips until both knees are bent at about 90°.
The back knee should hover just above the floor, front knee directly above the ankle.
Push through your front heel to bring your back leg forward and stand up into the next step.
Repeat, alternating legs as you move forward.","Keep chest upright,Engage core throughout the movement, Step far enough forward so your front knee stays over your ankle,Drive through the heel of your front foot when standing up,Keep hips level and avoid wobbling side to side,Control the descent",,
27,Stability Ball  - Plank,Strength,Core,"Rectus Abdominis, Transverse Abdominis","Obliques, Deltoids, Gluteus Maximus, Quadriceps, Erector Spinae, Hip Flexors",placeholder.webp,4xODTD0UL-o,"Place your forearms on a stability (Swiss) ball, elbows directly under your shoulders.
Extend your legs behind you so your body forms a straight line from head to heels.
Engage your core, glutes, and quads to hold your body steady.
Maintain a neutral neck and spine position.
Hold for the desired time, keeping the ball as still as possible.","Brace your core,Squeeze glutes and quads,Keep body in a straight line,Keep the ball steady,Look slightly ahead or down",,Stability Ball
28,Hollow Hold,Strength,Core,Rectus Abdominis,"Obliques, Hip Flexors",placeholder.webp,4xRpGgttca8,"Lay on back, lift shoulders and legs off floor, hold",Lower back stays pressed to floor,,
29,Hollow Rock,Strength,Core,Rectus Abdominis,"Obliques, Hip Flexors",placeholder.webp,p7j02V1fIzU,"Lay on back, lift shoulders and legs off floor, rock gently",Lower back stays pressed to floor,,
30,Conventional Deadlift,Strength,Upper Legs,"Gluteus Maximus,Hamstrings,Erector Spinae","Quadriceps,Core,Latissimus Dorsi",placeholder.webp,,Stand with feet hip-width apart and the bar over midfoot. Hinge at the hips and bend the knees to grip the bar. Brace the core and lift the bar by extending hips and knees until standing tall. Lower the bar under control.,"Bar close to shins,Chest up,Brace core,Push through heels",,Barbell
31,Sumo Deadlift,Strength,Upper Legs,"Gluteus Maximus,Adductors,Quadriceps","Hamstrings,Core,Erector Spinae",placeholder.webp,,Take a wide stance with toes turned slightly outward. Grip the bar inside the knees. Brace your core and push through the floor to stand upright with the bar. Lower the bar back to the floor with control.,"Push knees out,Chest tall,Bar close to body",,Barbell
32,Trap Bar Deadlift,Strength,Upper Legs,"Quadriceps,Gluteus Maximus","Hamstrings,Core,Erector Spinae",placeholder.webp,,Stand inside a trap bar with feet hip-width apart. Grip the handles and brace your core. Drive through the feet to lift the bar until hips and knees are fully extended. Lower back down under control.,"Neutral spine,Drive through midfoot,Chest up",,Trap Bar
33,Romanian Deadlift,Strength,Upper Legs,"Hamstrings,Gluteus Maximus","Erector Spinae,Core,Adductors",placeholder.webp,,"Hold a barbell or dumbbells in front of your thighs. Slightly bend the knees and hinge at the hips to lower the weight while keeping the back straight. Lower until you feel a hamstring stretch, then extend the hips to stand.","Hinge at hips,Slight knee bend,Keep back flat",,Barbell / Dumbbells
34,Dumbbell Squat Press,Strength,Full Body,"Quadriceps,Deltoids","Gluteus Maximus,Core,Triceps",placeholder.webp,,"Hold dumbbells at shoulder height. Perform a squat by bending hips and knees. As you stand up, press the dumbbells overhead. Lower them back to the shoulders and repeat.","Smooth transition,Core tight,Heels down",,Dumbbells
35,Bench Dips,Strength,Arms,Triceps Brachii,"Anterior Deltoids,Pectoralis Major",placeholder.webp,,Place hands on a bench behind you with legs extended. Lower your body by bending the elbows until arms reach about 90°. Push through the hands to extend the elbows and return to the start.,"Elbows back,Chest up,Control descent",,Bench
36,Single Arm Dumbbell Plank Row,Strength,Back,"Latissimus Dorsi,Rhomboids","Core,Posterior Deltoids,Biceps",placeholder.webp,,Start in a plank with one hand holding a dumbbell. Row the dumbbell toward your hip while stabilizing the torso. Lower it slowly and repeat before switching sides.,"Keep hips square,Pull elbow back,Brace core",,Dumbbell
37,Barbell Bench Press,Strength,"Chest,Arms,Shoulders",Pectoralis Major,"Triceps,Anterior Deltoids",placeholder.webp,,Lie on a bench with feet planted and grip the bar slightly wider than shoulder-width. Lower the bar to the chest with control. Press it back up until arms are fully extended.,"Shoulder blades tight,Bar to mid-chest,Feet planted",,"Barbell, Bench"
38,Dumbbell Bicep Curls,Strength,Arms,Biceps Brachii,"Brachialis,Brachioradialis",placeholder.webp,,Hold dumbbells at your sides with palms facing forward. Curl the weights toward your shoulders while keeping elbows close to the torso. Lower slowly to the starting position.,"Elbows still,Full range,Control lowering",,Dumbbells
